;ID_INSTR_MNS;COMPANY_ID_MNS;COMPANY_NAME_MNS;COUNTRY;NACE;NACE_SECTION;GICS;SECTOR_EXPOSURE_AFF;SECTOR_EXPOSURE_AFF_TYPE;EMISSIONS_CARBON_123_EVIC;EMISSIONS_CARBON_123_EVIC_TYPE;BREACHES;BREACHES_TYPE;EMISSIONS_CARBON_REDUCTION;EMISSIONS_CARBON_REDUCTION_TYPE;EMISSIONS_CARBON_3;EMISSIONS_CARBON_3_TYPE;GAP_GENDER_PAY;GAP_GENDER_PAY_TYPE;GAP_GENDER_PAY_ORIGIN;DEGRADATION_LAND;DEGRADATION_LAND_TYPE
0;6702d0e2-dac7-4bab-a03c-c4d9327cf964;lDIh9NPn;comp_B;HK;64.1;K;Financials;Not Disclosed;Estimated;89.19597531234484;Estimated;Not Disclosed;Reported;Yes;Estimated;34226630.11;Estimated;;;;Not Disclosed;Reported
1;dbb2778a-a8e2-48b1-b2e9-e4c5446d78da;oQ3qQ9Bx;comp_YANR;CO;64.1;K;Financials;Not Disclosed;Estimated;92.97548356270552;Estimated;Not Disclosed;Reported;Yes;Estimated;23419457.89;Estimated;2.0;Reported;csr,ESG report 2022,annual report,CSR 2022;Not Disclosed;Reported
2;de3588ec-23f6-4d62-a21f-39224a86ab1c;oB47eIir;comp_Q;CO;64.1;K;Financials;Not Disclosed;Estimated;165.85522806075494;Estimated;Not Disclosed;Reported;Yes;Estimated;329592.47;Estimated;1.86;Estimated;annual report;Not Disclosed;Reported
3;9327a87d-db61-4173-974b-01a850a89595;sKrhOPfZ;comp_Z;US;64.3;K;Financials;Not Disclosed;Estimated;20.95412875412489;Estimated;Not Disclosed;Reported;Yes;Estimated;12252493.71;Estimated;;;;Yes;Reported
4;9f313225-a4f7-4170-a534-50bce9fa1d39;OGHoQU9k;comp_TJVM;CO;64.1;K;Financials;Not Disclosed;Estimated;92.97548356270552;Estimated;Not Disclosed;Reported;Yes;Estimated;23419457.89;Estimated;2.0;Reported;csr,ESG report 2022,annual report,CSR 2022;Not Disclosed;Reported
5;48bab4e2-cf20-4356-943b-d0154a2ce6f4;UhpUY739;comp_J;KR;42.1;F;Financials;;;;;;;;;;;;;;;
6;bc461793-06b0-4ce8-8650-6aeb65633f6e;dQJfAcBH;comp_MLML;LU;64.3;K;Financials;Not Disclosed;Estimated;46.7489335180517;Estimated;Not Disclosed;Reported;Yes;Estimated;27150120.12;Estimated;54.1;Reported;Gender Pay Gap Report;Not Disclosed;Reported
7;3b6430d6-0ccd-4616-914a-89f1524c6868;GJB73uOD;comp_B;NL;64.3;K;Financials;Not Disclosed;Estimated;40.67774150545895;Estimated;Not Disclosed;Reported;Yes;Estimated;36159216.91;Estimated;14.48;Estimated;annual report,csr,CSR 2022;Not Disclosed;Reported
8;e70538d7-d7af-4ea4-bf6b-9ce1989d9f6c;ZMsKHs9k;comp_LTIA;GB;66.1;K;Financials;Not Disclosed;Estimated;20.95412875412489;Estimated;Not Disclosed;Reported;Yes;Estimated;12252493.71;Estimated;;;;Yes;Reported
9;3ecdcc7d-7336-4d72-b025-ab5c66391033;pP7rbgYb;comp_MW;NL;64.3;K;Financials;Not Disclosed;Estimated;89.19597531234484;Estimated;Not Disclosed;Reported;Yes;Estimated;34226630.11;Estimated;;;;Not Disclosed;Reported
